model_key,dataset_key,task_family,seeds,r_star_bits_per_value,reference_bits_saved_per_token,base_codelength_bits_per_token,surprisal_variance_bits2,margin_deficit_bits,hidden_effective_rank,surprise_weighted_hidden_logdet,residual_effective_rank,fisher_trace,fisher_effective_rank,fisher_logdet,unit_gain_ntk_cost,correction_rd90_bits,angular_correction_rd90_bits,centered_correction_rd90_bits,centered_angular_correction_rd90_bits,correction_energy_rank90,angular_correction_energy_rank90,trace_normalized_correction_logdet,angular_correction_logdet,centered_angular_correction_logdet,dataset_correction_log_volume,dataset_raw_correction_log_volume,dataset_centered_correction_log_volume,dataset_fisher_log_volume,correction_channel_bits,angular_correction_channel_bits,coherent_correction_energy,coherent_energy_over_entropy,prequential_correction_bits_per_row,prequential_decay_exponent,prequential_late_fraction,nearest_neighbour_cosine,correction_intrinsic_dimension,correction_coverage_fraction,correction_predictable_fraction,coherent_fraction,text_cross_row_redundancy,lora_layer_energy_entropy,lora_layer_energy_centroid,train_response_tokens,repeated_dataset_arms
llama31_8b_base,kind_instruct,alpaca,3,0.7475240465550103,0.3814758184460601,2.306061531494682,1.2765943470423737,1.6237023386202054,38.683174466851625,0.9276005080854924,29.211434002761578,834.4684686308723,194.4897208539197,359.82108151744495,0.774326489796414,775.5763569831205,1133.375758462197,796.7631779331732,1160.6945875361196,365.3333333333333,528.0,413.3778659204759,531.3081046022786,544.7178456543394,1677.241637560058,1338.3209931182,1706.0148123014906,7619.508041130021,6.806339345694958,7.157280113990701,30.18580793663683,12.474468556520124,-0.49261403240731977,0.014271963914985168,-0.3753592060063733,0.3131601684325393,36.26212767443574,0.1345775438364206,0.07407132553620555,0.04191059381565976,0.36128422371684393,0.8269641019854586,0.23389858237122754,15133.666666666666,1
mistral_7b_base,kind_instruct,alpaca,3,0.6433206134110627,0.6176277477482367,2.868966404115781,2.5260779428872735,2.3855931694367123,40.27006155962949,0.9345671524689667,28.472956862218084,6985.138492166433,63.32553827119443,1044.5477366747346,0.4507239146797102,554.5656126737391,933.653331903167,676.6573323426878,1101.2025979857517,269.3333333333333,448.3333333333333,328.319756753974,453.51477504835344,535.5486763889749,1483.2376578859432,1120.672573838355,1659.0982622967106,9406.985440722736,5.619896696454574,6.389896353821353,1341.8974930418788,731.3792133611763,4.126249008568897,0.09230738015831674,0.5947555024289705,0.47034180720890156,40.82086235926466,0.015445873877704963,0.3451796503269053,0.22511861534169686,0.36128422371684393,0.8287059519413941,0.2366017241386066,17183.666666666668,1
qwen25_7b_base,kind_instruct,alpaca,6,0.7741610807841622,0.1812554959979988,1.9181694223370869,1.2303639930719215,1.4486515777280147,24.568070150369277,0.8197793157686033,29.002809943297038,3612.7227177295567,119.09400460092024,687.9713398133863,1.6639427397533524,457.7661073129787,699.9131413130184,467.40552147516837,712.1075635811416,200.66666666666666,330.6666666666667,328.753980390428,391.66150986362305,396.184535402929,1266.9667571448044,1040.0067866862476,1278.8667652900224,8461.671611043048,6.6553214970468915,6.939923409430762,81.43072042280889,48.87926459715137,-0.29095902480858493,0.018938193260463813,-0.07633622669406169,0.4104155935252729,27.953783857842538,0.06887579498476838,0.044648343504195775,0.022869799242931272,0.36128422371684393,0.9749389968059141,0.4748614121388803,15294.666666666666,1
qwen3_8b_base,kind_instruct,alpaca,3,0.8348358446025559,0.23506212622998354,2.0044575124411494,1.4227868543271507,1.4599173859163177,20.950126023027128,0.7081089572891176,29.382044595411816,3237.229812263447,32.76507750689751,269.9295689305445,3.634930829542673,64.72456592006957,83.67939248948348,66.07673741565286,86.21813179185297,28.333333333333332,31.0,152.0314043012179,176.25323060613084,178.58171959850836,538.9818088359515,429.52153550249085,547.8039069229015,6473.638608105292,6.025143102506959,6.387842292107656,105.99848854069468,53.98429438804201,0.2548751040619061,0.05857282218979706,0.5669087185975888,0.568557716257735,19.870409311431285,0.02843921596570582,0.027982809892229454,0.03401182267055606,0.36128422371684393,0.9130544273207213,0.45818733944025936,15294.666666666666,1
llama31_8b_base,kind_dialogue,hh_rlhf,3,0.9033623046328357,0.23413962795723617,2.826603626058214,0.678424710130051,1.8505206466270876,44.00893732350147,0.9149172520486331,29.436592062788872,691.1443851511702,308.2221617879736,366.48487573573317,0.7053097081934884,985.4036147002263,1162.5517365814837,1012.8178710252495,1188.272111295277,460.6666666666667,539.0,479.7963340842223,540.8332544755543,553.6645552893585,1704.9000926036144,1535.1390429589349,1732.136222118087,7756.926055745594,6.994304448789717,7.162116822341296,29.2531312079656,9.307185644893494,-0.3210738541792672,-0.008794761030999448,-0.4739576517629687,0.25278098120513787,59.57357936804624,0.16254072813406195,0.0428888361001745,0.039360023340541284,0.37615027071423723,0.8256421252930227,0.24833287630713277,16692.666666666668,1
mistral_7b_base,kind_dialogue,hh_rlhf,3,0.9130857421944342,0.2886647238563391,2.9242848596151205,0.8105439310110354,2.042192850257819,45.17628159346675,0.9035897377877743,29.137979421081216,4055.9544679293845,281.54492944043636,1098.2603333584336,0.3377259534263332,987.8117622833047,1109.6978644224052,1048.6598752291077,1172.2407329701432,464.3333333333333,520.3333333333334,476.9435465321572,516.8575764018524,547.7727550243601,1650.8654238855295,1535.7120971168833,1716.7336926377975,9552.014149372835,6.859135265916837,7.001214298886988,358.99294873290074,126.74718757995176,-0.29652495008898533,0.08778538634538087,-0.538150079000525,0.3008365448728873,60.53530647507256,0.07290544317710636,0.04112789710509631,0.08911681517085507,0.37615027071423723,0.8817525999287557,0.31922934973046097,18476.333333333332,1
qwen25_7b_base,kind_dialogue,hh_rlhf,6,1.1801944600286196,0.22503209443410896,2.8894244992644027,0.7990658169390489,2.0177647048361185,27.549593744275914,0.7712885492118277,29.06862831425708,4302.436328991342,111.39037090175948,722.0784627405155,1.5899631156744924,419.55564476539377,546.4607735634072,432.5410379622172,560.2501088896247,186.0,256.0,309.8303392975046,343.1098957094353,347.9456530279047,1121.1260673120057,1000.1586063608192,1134.621408426671,8601.748333513606,6.682271075692807,6.813320804661068,126.92227650991929,44.30892468846753,-0.017101425001408887,0.02448085915119616,-0.21194655693002665,0.4167156280375454,32.13381352120583,0.05601088552095482,0.02796574555456192,0.027603325160688263,0.37615027071423723,0.9636825294898639,0.48757669218583005,16782.666666666668,1
qwen3_8b_base,kind_dialogue,hh_rlhf,3,1.0796848342216252,0.2839015051879675,2.9409532427522067,0.845099426774986,2.027054903863612,25.898805790686865,0.7022304227313,29.395383326203703,3148.498108817004,36.50240881994618,272.595342546204,2.723360572928754,67.2761486999464,74.13200996295059,69.67327393409072,76.73937812246346,29.0,30.0,155.19568145731807,165.650667554609,168.84297638751337,491.57804991757075,441.7725352289915,503.60491263566763,6579.705592676489,6.1596948785444345,6.330577925339919,167.2302031792229,56.01416624930357,0.1346089896110962,0.03942120975352861,0.5564406997426629,0.5710118577551464,21.343130672783605,0.02731596811730777,0.011259228079581315,0.04964018045990504,0.37615027071423723,0.8400872250575985,0.5439103483808089,16782.666666666668,1
llama31_8b_base,kind_code,magicoder,3,1.0413726121078197,0.256298581364941,2.2118240833838168,0.49360603438292155,1.7411674186427595,40.704920999466616,0.920417367677712,30.081689266109148,266.11262639989377,431.9261935368838,196.67167571266216,0.053782043585584416,1147.5309031699917,1192.0233464995392,1205.66172182873,1259.1702192232094,528.0,556.3333333333334,536.3328495609642,540.8234551900752,575.4918894033559,1730.2733861463396,1696.7904568201986,1802.3349402328913,6960.519891864478,6.983569090783258,6.945123695973586,22.73265604573157,13.471765323790644,-0.9377183694631984,0.05726406634073356,0.20055558705073373,0.2654057197628193,73.86728073582576,0.07989546721572928,-0.01296175860230934,0.09450781788222583,0.23971607097127604,0.8139360751829835,0.21264084129178865,90248.33333333333,1
mistral_7b_base,kind_code,magicoder,3,0.8912459138685919,0.1656497501261097,1.6024602779277461,0.43442832630508477,1.2628404285178965,36.87167411964521,0.8834860833311994,29.50016426186046,1859.5265053498044,267.78168567363224,697.5985783958909,0.07310423523759113,956.207635739087,997.0110764584011,1051.5428839288481,1106.5838072438073,447.0,473.6666666666667,465.7979842524331,468.0812243048384,520.0759348057663,1541.4662938138902,1512.1236472273567,1655.5705003448427,8548.780106341224,6.6443694950931915,6.5807112895605995,257.55696138604367,195.25321882484658,-0.8470460212209575,0.057825716159140006,0.23869617681451824,0.36569653797076435,64.0189508541065,0.03361770676400685,-0.01601317337459429,0.15205188898724686,0.23971607097127604,0.8919115843140335,0.298860627271686,105549.0,1
