model_key,dataset_key,task_family,seeds,r_star_bits_per_value,reference_bits_saved_per_token,base_codelength_bits_per_token,surprisal_variance_bits2,margin_deficit_bits,hidden_effective_rank,surprise_weighted_hidden_logdet,residual_effective_rank,fisher_trace,fisher_effective_rank,fisher_logdet,unit_gain_ntk_cost,correction_rd90_bits,angular_correction_rd90_bits,centered_correction_rd90_bits,centered_angular_correction_rd90_bits,correction_energy_rank90,angular_correction_energy_rank90,trace_normalized_correction_logdet,angular_correction_logdet,centered_angular_correction_logdet,dataset_correction_log_volume,dataset_raw_correction_log_volume,dataset_centered_correction_log_volume,dataset_fisher_log_volume,correction_channel_bits,angular_correction_channel_bits,coherent_correction_energy,coherent_energy_over_entropy,prequential_correction_bits_per_row,prequential_decay_exponent,prequential_late_fraction,nearest_neighbour_cosine,correction_intrinsic_dimension,correction_coverage_fraction,correction_predictable_fraction,coherent_fraction,text_cross_row_redundancy,base_head_hidden_alignment,base_head_error_alignment,within_example_channel_bits,total_correction_channel_bits,within_between_energy_ratio,train_response_tokens,repeated_dataset_arms
llama31_8b_base,kind_instruct,alpaca,3,0.7475240465550103,0.3814758184460601,2.2563000896479934,1.1753751176558993,1.5870929751351166,35.673842989436544,0.9252679944904804,27.593742582990597,821.3655797200885,79.04726960397413,247.27410191594035,0.714286493477724,263.39601470161136,364.87628293674044,268.1969082228006,370.2733079457953,130.66666666666666,180.66666666666666,119.2799162327233,155.07610271986354,158.34363560425322,811.473549774928,683.4348964266898,818.1599359930874,2372.4599005432196,1.7698279759988758,1.8227630327000053,32.25881105410168,13.603909902979362,-2.0319222441923923,-0.044070553884174905,0.24251415675564034,0.27582715960896714,34.31634367484378,0.3712472755385456,0.06522351800057687,0.04563517235916718,0.34009917441010806,0.07768734558834296,0.0004755094837854217,14.272338786402905,14.27228301679034,23.48090969640812,15133.666666666666,1
mistral_7b_base,kind_instruct,alpaca,3,0.6433206134110627,0.6176277477482367,2.828089333837852,2.5062757271753604,2.3546779065703354,37.50288598734294,0.9295580037153219,26.99263850968045,7157.687759964731,32.96530202005284,582.2315337555171,0.5008273501445188,202.25694414771738,318.09742282636836,237.9195759611655,361.79327247978125,102.0,161.33333333333334,95.89143940574634,133.38465570914042,156.90171091614215,751.6739553864313,607.0574919105716,808.0687938697534,2839.8438512248126,1.607036297527774,1.7316105172710163,1387.1406827919193,768.0136157105838,2.0345542937140735,0.0235464933917456,0.7346976942123521,0.44597563219155206,41.758762636129234,0.058470612246427245,0.35066862701402,0.22926191125289164,0.34009917441010806,0.14015415453317884,0.0007713297445292987,13.662552258655277,13.600186338711081,18.84060521786441,17183.666666666668,1
qwen25_7b_base,kind_instruct,alpaca,6,0.7741610807841622,0.1812554959979988,1.88056976373385,1.1600102266086094,1.4185789349818758,22.57128848757601,0.815125295140123,27.63823151908248,3575.1359130613164,63.30754740637912,436.60643798078655,1.4384815930940686,194.53566841262332,279.8312796338241,197.26508693843275,282.40277462052853,84.66666666666667,131.66666666666666,107.3257629048984,129.66050530029713,130.76015158597616,705.2929696767195,598.5104854919917,708.0090754484232,2640.6122747646136,1.7644159716986623,1.8074553403225935,96.18891694631314,58.63843202235105,-1.0122864446732416,0.02586159074701262,0.17349925435648827,0.362597419799424,28.0621845763669,0.22378890662383807,0.04325619118828542,0.026653821146001334,0.34009917441010806,0.07608329149265125,0.00024798625420617933,13.139676862468756,13.143343140402783,23.96205218075185,15294.666666666666,1
qwen3_8b_base,kind_instruct,alpaca,3,0.8348358446025559,0.23506212622998354,1.9518987516057678,1.1464253275017333,1.421048951842143,19.02599590259358,0.7078365449449578,27.90481458769304,3244.0116650339455,25.800133337721093,223.76739623906784,3.730293570880646,55.475841508134245,74.84437463005123,56.39980604111335,76.53902769754946,25.333333333333332,29.666666666666668,69.22099555038027,80.86533973000509,81.62845457038092,411.4862264989917,329.42088085696105,415.80897058637794,2199.9450500848657,1.7065366134871436,1.7650655955083179,112.97997876705313,58.677046352653555,0.1347468392057832,0.0018656260454314548,8.323705690485767,0.51288233929076,19.417919413503537,0.10423318153281465,0.03059098312283352,0.036668199860451035,0.34009917441010806,0.05585296824787922,0.00021474970159432127,11.510772386895312,11.509380688490603,22.780137239041895,15294.666666666666,1
llama31_8b_base,gsm8k_self,gsm8k,3,1.024678638288958,0.9502454836378801,1.8006018447922543,0.327029404124661,1.348506651003845,40.04615469337573,0.7821929194750011,26.834612445822255,236.2066410001968,110.07166251189096,125.97484111029183,0.21306487305144725,299.5603621200607,309.73117673869524,313.6861918762467,324.20607299505355,144.0,151.66666666666666,133.15119674450685,135.1021877601842,141.9463919713991,716.9682450325326,705.1747669156276,734.9638353354227,2079.455042564184,1.7990690291117122,1.8004728916692898,21.413358715938642,11.450913697708707,-0.34459760089648145,0.09899869536268763,-0.13913901193795805,0.35212016353025694,42.06941915114388,0.18051154663916938,0.0069189041613451074,0.09298117055201462,0.3936404949531755,0.08601570512639056,0.0005321114519261147,13.442529534158007,13.442824589444669,31.049432259150546,26037.333333333332,1
mistral_7b_base,gsm8k_self,gsm8k,3,0.8302310167984422,0.7848841237122505,1.3572366861238454,0.258288879894484,1.0712067273367818,38.780120137997535,0.7850773155266139,23.630768137615576,1511.4701242733754,90.47403459054236,353.9590993933911,0.1549310808253014,274.3337822235262,285.8180371686453,291.52776869755183,304.50955519573887,132.0,139.66666666666666,124.90044688236793,126.64584294190884,134.88706462816742,687.4989467971176,674.4459736321779,710.5184326350642,2519.26404792434,1.782756170535917,1.782471839962625,162.44761781605337,119.67836257174194,-0.4056070266144404,0.09232339866429644,-0.04625517142906532,0.41204420346072856,37.23641429569637,0.12447987076291728,0.0010249705211555031,0.1135830564754105,0.3936404949531755,0.1453188967475242,0.000645562981106421,12.655202261634537,12.664452033354001,32.23560189782301,33190.0,1
qwen25_7b_base,gsm8k_self,gsm8k,3,1.020526276442425,0.31494209509380927,0.7129209843503,0.1316183076479993,0.6126047025075726,32.35357793490923,0.7362246401873512,23.9152545456047,646.6115338206806,65.47545823707584,194.6931442395817,0.24132782680622,213.54815644092105,234.066811877883,230.9375460061851,256.08173863434143,99.0,110.33333333333333,109.9402219279314,112.89919572186137,121.2819532117886,625.7737601146376,599.9453415606263,652.3137537361836,2209.143654725577,1.764460821689272,1.7635927819458503,73.02017414153498,149.69512829787038,-0.014361886620794267,0.10286118674059791,-0.11381612304559803,0.5016520766294095,25.420603124487474,0.09509670610810274,0.005603422177222095,0.12962502402444726,0.3936404949531755,0.06571385093080852,0.0003251025257768513,11.94976133636879,11.957960739563449,31.741570214563364,31430.333333333332,1
llama31_8b_base,kind_dialogue,hh_rlhf,3,0.9033623046328357,0.23413962795723617,2.8733261290275443,0.6560770365881736,1.881140297689613,40.33925530224729,0.9125840312072571,28.33559717446283,734.7023734351068,124.61156024105986,270.0188731625913,0.6624379583587872,321.2491750978584,371.15131487220714,327.1545773644396,375.9762611940637,158.33333333333334,184.33333333333334,138.71655922875416,157.24637656146723,160.34585580565474,818.6806518860889,754.87543184064,824.660539706449,2414.0969184573455,1.7936529704146553,1.8142236207118119,33.333335720906376,10.452586631819658,-1.706768706981024,0.02843640322325637,0.27147227569160565,0.22090015819571837,51.694556117695164,0.4322679156516207,0.00742515700653749,0.042339034145886835,0.352988271334522,0.08435952780820516,0.00042464175986532525,14.27794085045709,14.276857136797242,24.61904701768769,16692.666666666668,1
mistral_7b_base,kind_dialogue,hh_rlhf,3,0.9130857421944342,0.2886647238563391,2.994328705597208,0.8248571368550346,2.098666939868448,41.75920201436071,0.900934041207024,27.8763729860664,4267.237559051847,119.77400332717345,612.2646874850115,0.32460991070862866,323.6046153976315,358.87690500560893,337.8173538582634,372.83621142854264,160.33333333333334,179.66666666666666,138.69579192360172,151.1192703923197,159.21601181433877,802.5472033117379,757.7277830107487,820.5171730024555,2862.493256308981,1.7800235197358603,1.7978022915908072,387.5166576077563,135.1151649429523,-1.2086491476279282,0.04462377268278159,0.10560960657223566,0.2744768200771203,51.862533017032966,0.2400606946094185,-0.008184840077426444,0.0917301184525064,0.352988271334522,0.1511168987541354,0.0007712239589800308,14.057312399155649,14.055964164700582,25.740749860758815,18476.333333333332,1
qwen25_7b_base,kind_dialogue,hh_rlhf,6,1.1801944600286196,0.22503209443410896,2.969776538256355,0.8398865165809367,2.0851403649474958,24.99639908078377,0.7727118691198879,27.95610945278526,4532.326269020111,70.8242813043351,490.3239950691218,1.3734279145261006,201.70117083274081,250.294624572722,205.63603041104457,253.88778703227786,87.33333333333333,115.66666666666667,109.54449119564048,121.03221515967523,122.36079034600111,668.0089270877382,609.2174156784483,671.8978585186064,2705.88741611068,1.772719399778116,1.7902355730261312,149.61342284483717,51.472209385225874,-0.5322355547944274,0.0720861175483664,0.058685128607096355,0.36699132575928783,29.24404184883865,0.1950954686333999,0.019855509908702256,0.03167191324424253,0.352988271334522,0.06898143243763209,0.00022993564925434732,12.889490811538886,12.891056334316415,25.17356059171816,16782.666666666668,1
