seed,codec,family,bits_per_value,relative_rmse,rmse_corrected,baseline_score,raw_adapter_score,task_score,retained_gain,heldout_bits_saved_per_token,examples
11,binary,uniform,1.0212823867797851,0.5625407643898553,no,0.06368460955269144,0.6823351023502654,0.5815011372251706,0.8370098039215687,0.5904273687904611,1319
22,binary,uniform,1.0212932586669923,0.5624643785580802,no,0.06368460955269144,0.6679302501895376,0.6004548900682335,0.8883312421580928,0.5843126174694147,1319
33,binary,uniform,1.02124080657959,0.5626049994123149,no,0.06368460955269144,0.6868840030326004,0.5898407884761183,0.8442822384428225,0.5845540634037714,1319
11,fp16,uniform,14.720357704162598,0.00020816412707107466,no,0.06368460955269144,0.6823351023502654,0.6823351023502654,1.0,0.6460481730645365,1319
22,fp16,uniform,14.720598602294922,0.00020821561768500185,no,0.06368460955269144,0.6679302501895376,0.6702047005307051,1.0037641154328734,0.6430183903719794,1319
33,fp16,uniform,14.721152877807617,0.0002081610987278762,no,0.06368460955269144,0.6868840030326004,0.6853677028051555,0.9975669099756692,0.6505772676905881,1319
11,loraquant_2_08,loraquant,1.5911592483520507,,no,0.06368460955269144,0.6823351023502654,0.6618650492797574,0.9669117647058824,0.6347918266870303,1319
22,loraquant_2_08,loraquant,1.591883087158203,,no,0.06368460955269144,0.6679302501895376,0.6482183472327521,0.9673776662484316,0.6322967004300311,1319
33,loraquant_2_08,loraquant,1.5923345565795899,,no,0.06368460955269144,0.6868840030326004,0.6421531463229719,0.9282238442822385,0.6379404278212629,1319
11,loraquant_3_09,loraquant,2.6877410888671873,,no,0.06368460955269144,0.6823351023502654,0.6800606520090978,0.9963235294117647,0.6435945335235826,1319
22,loraquant_3_09,loraquant,2.682717514038086,,no,0.06368460955269144,0.6679302501895376,0.6755117513267627,1.012547051442911,0.6415579495711486,1319
33,loraquant_3_09,loraquant,2.687631607055664,,no,0.06368460955269144,0.6868840030326004,0.6648976497346475,0.964720194647202,0.6478169590642135,1319
11,mdl:mdl_0.25,mdl_drop,0.21350479125976562,0.8471522408577985,no,0.06368460955269144,0.6823351023502654,0.06368460955269144,0.0,0.0,1319
22,mdl:mdl_0.25,mdl_drop,0.21308460235595703,0.8474789263973671,no,0.06368460955269144,0.6679302501895376,0.06368460955269144,0.0,0.0,1319
33,mdl:mdl_0.25,mdl_drop,0.20851593017578124,0.8514218029500985,no,0.06368460955269144,0.6868840030326004,0.06368460955269144,0.0,0.0,1319
11,mdl:mdl_0.5,mdl_drop,0.499388313293457,0.6862974672479564,no,0.06368460955269144,0.6823351023502654,0.06368460955269144,0.0,0.0,1319
22,mdl:mdl_0.5,mdl_drop,0.4985332489013672,0.6866638940023665,no,0.06368460955269144,0.6679302501895376,0.06368460955269144,0.0,0.0,1319
33,mdl:mdl_0.5,mdl_drop,0.49963855743408203,0.6864672350548788,no,0.06368460955269144,0.6868840030326004,0.06368460955269144,0.0,0.0,1319
11,mdl:mdl_0.75,mdl_drop,0.7428682327270508,0.6080821323544767,no,0.06368460955269144,0.6823351023502654,0.06368460955269144,0.0,0.0,1319
22,mdl:mdl_0.75,mdl_drop,0.7415971755981445,0.6086863396823128,no,0.06368460955269144,0.6679302501895376,0.060652009097801364,-0.005018820577164375,0.0,1319
33,mdl:mdl_0.75,mdl_drop,0.7441980361938476,0.6079640047313227,no,0.06368460955269144,0.6868840030326004,0.06368460955269144,0.0,0.0,1319
11,mdl:mdl_1,mdl_drop,0.9773719787597657,0.5366015657571674,no,0.06368460955269144,0.6823351023502654,0.11751326762699014,0.08700980392156861,0.38319978961574874,1319
22,mdl:mdl_1,mdl_drop,0.9767818450927734,0.5368623164144082,no,0.06368460955269144,0.6679302501895376,0.05686125852918878,-0.011292346298619828,0.36945870275252024,1319
33,mdl:mdl_1,mdl_drop,0.979058837890625,0.5362294465740193,no,0.06368460955269144,0.6868840030326004,0.06595905989385899,0.003649635036496348,0.3744826738739646,1319
11,mdl:mdl_1.25,mdl_drop,1.2244087219238282,0.46531879832496775,no,0.06368460955269144,0.6823351023502654,0.5822592873388931,0.838235294117647,0.5845091818703239,1319
22,mdl:mdl_1.25,mdl_drop,1.2212860107421875,0.4661993807819577,no,0.06368460955269144,0.6679302501895376,0.5739196360879454,0.8444165621079046,0.5807153406928194,1319
33,mdl:mdl_1.25,mdl_drop,1.2236318588256836,0.4656093326302966,no,0.06368460955269144,0.6868840030326004,0.5686125852918877,0.8102189781021897,0.5856872707302978,1319
