run_id,model_key,dataset_key,seed,r_star_bits_per_value,r_star_bracketed,reference_bits_saved_per_token,base_codelength_bits_per_token,fisher_effective_rank,fisher_logdet,fisher_trace,hidden_effective_rank,margin_deficit_bits,residual_effective_rank,surprisal_variance_bits2,surprise_weighted_hidden_logdet,unit_gain_ntk_cost
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,0.9270848277264081,True,0.1681050878669661,1.5504460397958755,120.75238611804585,431.1248469946172,1808.5058362729624,32.591440757130066,1.2241249177455902,27.84890588240227,0.418326144829939,0.8818721307822205,0.09200423577114791
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s22__d79db6a95e,mistral_7b_base,kind_code,22,0.8811149188660377,True,0.16621482032842239,1.534988899588585,119.44643502649114,431.8016029638691,1824.8046868997858,33.57612786308573,1.2030676544904708,27.953801438829373,0.3855336452960442,0.8825750350732775,0.08128039967706184
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,mistral_7b_base,kind_code,33,0.8655379950133298,True,0.16262934218294056,1.6460158439382675,126.32554293032152,441.6996187406593,1845.7148147752387,33.14952674838211,1.2851967132753797,28.372780097549292,0.42416404643168265,0.8851000806651502,0.09098895069199406
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s11__64973b625e,mistral_7b_base,kind_dialogue,11,0.9997361523735223,True,0.3053469397936337,2.8516439418308437,124.94894687982621,602.1448404782329,3880.4269385758203,41.47661373055819,1.972961185267195,27.85601102859189,0.6117225155544057,0.9047754969362761,0.2684737526988795
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s22__934fae776e,mistral_7b_base,kind_dialogue,22,0.9205704074489287,True,0.2787465925828241,2.880421672249213,134.5803609638858,599.89245564576,3700.4997752230033,40.98450761089965,2.007777765393257,28.044546433127763,0.5497116512795599,0.8954072628905153,0.2918663331406611
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s33__fb2f052ab5,mistral_7b_base,kind_dialogue,33,0.8189506667608514,True,0.2819006391925596,2.8428950625446,128.17163913454158,595.0301547619767,3725.2068239726973,41.86540852462966,1.9638341997451934,27.838207015992353,0.5408945577576629,0.8962409080798402,0.30958636277258333
mistral-kind-instruct__mistral-7b-base__kind-instruct__all-linear-r16__s11__4857d6cdce,mistral_7b_base,kind_instruct,11,0.6772248518289024,True,0.5916822670066635,2.9974097330123186,34.8588290927884,598.7565514613755,7452.831477778107,38.20109711111802,2.4826656959485263,27.3687214316962,2.3299562898780666,0.9326212556734691,0.4234487275853473
mistral-kind-instruct__mistral-7b-base__kind-instruct__all-linear-r16__s22__d941d1a300,mistral_7b_base,kind_instruct,22,0.6514482019850181,True,0.6158620651320597,2.8331940450007096,39.09341559270405,579.5319783990268,6324.612991841423,36.84108918700456,2.311425993219018,27.19313791549366,2.3784932408174613,0.9326402837523566,0.4190239173675881
mistral-kind-instruct__mistral-7b-base__kind-instruct__all-linear-r16__s33__df1571b1dc,mistral_7b_base,kind_instruct,33,0.6012887864192678,True,0.6453389111059871,2.7731108099687845,42.65678642607394,581.1750275739417,5742.8007653710465,38.511216217089256,2.2625415378715843,27.3096325083413,1.6458012452899138,0.929743130375992,0.36234503477594265
mistral-kind-summary__mistral-7b-base__kind-summary__all-linear-r16__s11__6258771064,mistral_7b_base,kind_summary,11,0.6304594596694875,True,0.6124316005876165,2.1701803659027368,141.7519409376285,494.3907593710386,2429.008199045835,44.098876909237326,1.5351629842745576,28.21041765148075,0.3151472265366161,0.9104260038697887,0.10370099891376955
