model_key,dataset_key,task_family,seeds,r_star_bits_per_value,reference_bits_saved_per_token,base_codelength_bits_per_token,surprisal_variance_bits2,margin_deficit_bits,hidden_effective_rank,surprise_weighted_hidden_logdet,residual_effective_rank,fisher_trace,fisher_effective_rank,fisher_logdet,unit_gain_ntk_cost,repeated_dataset_arms
mistral_7b_base,kind_code,kind_code,3,0.8912459138685919,0.1656497501261097,1.577150261107576,0.4093412788525553,1.2374630951704801,33.1056984561993,0.8831824155068827,28.05849580626031,1826.3417793159958,122.17478802495283,434.8753562330485,0.08809119538006793,1
qwen25_7b_base,kind_code,kind_code,3,0.6683595703599612,0.08931233470189825,1.9153104642631433,0.46423792305833406,1.5373845744736316,23.537753367089408,0.7540107723740527,28.27869455390034,1486.605895808695,78.32523810725729,311.09409234416563,0.15870303182195278,1
mistral_7b_base,kind_dialogue,kind_dialogue,3,0.9130857421944342,0.2886647238563391,2.858320225541552,0.5674429081972096,1.9815243834685485,41.442176622029166,0.8988078893022106,27.91292149257067,3768.7111792571736,129.2336489927512,599.0224836286566,0.289975482870708,1
qwen25_7b_base,kind_dialogue,kind_dialogue,3,1.17583402809107,0.22497088399091694,2.863933711089658,0.6114834252476649,1.981646974561577,25.07097240928881,0.7697951309446357,27.996484953637005,4019.5903316577337,74.35015084572953,478.80694475873605,1.2443795362189574,1
mistral_7b_base,kind_instruct,kind_instruct,3,0.6433206134110627,0.6176277477482367,2.867904862660604,2.118083591995147,2.3522110756797097,37.85113417173728,0.9316682232672725,27.290497285177054,6506.748411663525,38.8696770371888,586.4878524781147,0.40160589324295937,1
qwen25_7b_base,kind_instruct,kind_instruct,3,0.773695736332567,0.18127013381690285,2.0053373998283255,1.3853825802838842,1.5147440739917026,23.66017705890719,0.81860539952388,27.863785554770544,3489.1897442977993,69.82892169028467,448.7911332911479,1.3153251091392788,1
mistral_7b_base,kind_summary,kind_summary,3,0.6521526212375846,0.6058513120992538,2.1660902499977364,0.31253371909812355,1.5262011925417387,44.20216517629737,0.9096328328414517,28.01501805467632,2485.4910291203664,131.36116301705462,492.22974667649896,0.11628999544696754,1
qwen25_7b_base,kind_summary,kind_summary,3,0.38755980471902274,0.49432321829831344,2.4268251347507745,0.4171372480511366,1.8620446589018531,30.486438661482783,0.7820915215649494,28.50402508178134,2359.1579119564026,95.41115725687065,419.6420160371583,0.8546711484422813,1
mistral_7b_base,panel_math,panel_math,3,0.7367548234668488,0.5957544638730436,1.004974670552959,0.1136369023194438,0.7149377207776221,26.261665284241364,0.8160272762727349,24.845750363245486,1286.4719850383767,77.4545022136981,320.4693743610946,0.13172603954142717,1
qwen25_7b_base,panel_math,panel_math,3,0.41142462189523044,0.09195933785129766,0.3905975991971597,0.06527216511783276,0.31529180344963,20.303183013501968,0.7358735874894998,24.46151993590691,399.9462641991445,66.31155601698082,141.85263650741993,1.890306144242362,1
mistral_7b_base,sql_div_100+text_to_sql,sql,3,0.4106034411106614,0.6760288115739024,1.1119339378395428,0.10331365495696958,0.9746692872916659,36.58018870358551,0.823127115237915,23.070053430576223,1569.195319478866,7.7191412414444285,198.89449823333663,0.14890844900351186,2
mistral_7b_base,sql_div_10,sql,3,0.3750096033195756,0.6696083418622226,1.0965244732021044,0.10121531459124666,0.9622982714014748,35.03011646206924,0.8237643011084165,23.113520092579154,1542.4224044911289,8.178134489912816,199.49427845912814,0.14036347662976892,1
mistral_7b_base,sql_div_25,sql,3,0.3870594163578436,0.6744409544400201,1.1160011357472588,0.11598782431758714,0.9790029760915786,35.873660396894145,0.8253567313980396,23.359724935221823,1586.043303004258,7.685738710421476,198.81398665201914,0.14436002000643441,1
qwen25_7b_base,sql_div_100+text_to_sql,sql,3,0.6011562181345881,0.26323439885600497,0.5637683380628005,0.09105395664062622,0.4432776466807506,22.683664021591937,0.7471765871178299,24.10537236407835,675.8315403893201,32.430966610053446,156.845691572704,0.37112664164078785,2
qwen25_7b_base,sql_div_10,sql,3,0.5837010484948503,0.24972457181627483,0.5584608062830133,0.08619855446169272,0.43834161103586666,21.806277580526437,0.7461077376409205,23.617312027426706,668.9958595199361,32.79463115673742,155.271346628599,0.37768941669815304,1
qwen25_7b_base,sql_div_25,sql,3,0.6111430273430632,0.2574560842002447,0.5626907817204483,0.08988797813445086,0.44249717532269034,22.343702050119475,0.7470512189385228,24.036317790217634,678.5488584633362,31.53134734731819,155.8327655009288,0.3862827264990045,1
mistral_7b_base,xbrl_div_10,xbrl,3,0.2603208274649482,1.6711799428618346,1.7725434351402025,0.13974459142823328,1.3490395015881707,13.3995869189557,0.7431011869057554,10.65997663546141,5457.676498656121,6.5752872349992275,154.862379501032,0.025845137898297482,1
mistral_7b_base,xbrl_div_18,xbrl,3,0.2940063682441318,1.7160020093327708,1.766384446527809,0.16015862877845466,1.3426292860725273,13.604996526261054,0.7433058795196305,10.739567726453535,5505.503062488296,6.699149002631824,159.71725929794982,0.026504901790144666,1
mistral_7b_base,xbrl_div_30+xbrl_tags,xbrl,3,0.3442704727133544,1.7433263503935459,1.787296737699459,0.162628543011079,1.3575303401642789,14.066416891438598,0.7431785463723396,10.921565824930411,5521.863608466782,6.780362102072413,164.06480107169165,0.027446099359140108,2
qwen25_7b_base,xbrl_div_10,xbrl,3,0.3969269887857327,0.6161989944262594,0.664365998323774,0.19795634840482293,0.5333357186779418,8.52744448459204,0.7324281083904057,10.489560731160523,1757.191742270389,8.736237937707264,90.02761465439396,0.1876207486844829,1
qwen25_7b_base,xbrl_div_18,xbrl,3,0.4430184704073699,0.663472782229793,0.6763024175015744,0.22254127074781738,0.5460012564096056,8.747212603552557,0.7322612833061539,10.684636607987157,1802.64454590757,8.749206910968995,92.65054990887944,0.19473944353538422,1
qwen25_7b_base,xbrl_div_30+xbrl_tags,xbrl,3,0.4717804038940321,0.6947195331454885,0.6923730346413018,0.2247416009550586,0.5613994912637281,8.956994208848345,0.7325365060175323,10.7967371308742,1833.2781098316275,8.972572365682154,95.20987811552607,0.19350225359498405,2
