block,model_key,study,dataset_key,seeds,r_star_bits_per_value,angular_correction_logdet,base_codelength_bits_per_token
cot_mistral,mistral_7b_base,sup_answer,cot_math,3,0.16890719701544876,38.62587563831892,2.481511206095247
cot_mistral,mistral_7b_base,sup_full,cot_math,3,0.9859130421582645,124.64747545000382,1.004974670552959
cot_mistral,mistral_7b_base,sup_reasoning,cot_math,3,0.7221458975897846,131.5616579128366,0.894161510533498
cot_qwen,qwen25_7b_base,qwen_sup_answer,cot_math,2,0.17140519362516157,45.68519561749888,0.023253401963205966
cot_qwen,qwen25_7b_base,qwen_sup_full,cot_math,3,0.47467351483632053,112.70457056397215,0.3905975991971597
cot_qwen,qwen25_7b_base,qwen_sup_reasoning,cot_math,3,0.42997816590836085,114.16301615857668,0.4067886286417585
fixed_compute_rows,mistral_7b_base,arm_a,arm_a,6,0.7853265470977294,124.7944253578893,0.9937768699019216
fixed_compute_rows,mistral_7b_base,arm_b,arm_b,6,0.7419084623615614,124.7944253578893,0.9937768699019216
fixed_compute_rows,mistral_7b_base,arm_c,arm_c,6,0.8382688954264457,124.7944253578893,0.9937768699019216
fixed_compute_rows,mistral_7b_base,arm_d,arm_d,6,0.9890511453748932,124.7944253578893,0.9937768699019216
fixed_compute_rows,mistral_7b_base,arm_e,arm_e,6,0.7164861767303101,124.7944253578893,0.9937768699019216
fixed_row_content,mistral_7b_base,div_1200,lever_div_1200,6,0.7125132418478503,124.7944253578893,0.9937768699019216
fixed_row_content,mistral_7b_base,div_3600,lever_div_3600,6,0.7455035284193694,124.7944253578893,0.9937768699019216
fixed_row_content,mistral_7b_base,div_400,lever_div_400,6,0.682210107245463,124.7944253578893,0.9937768699019216
response_form,mistral_7b_base,numbered_broad,behav_numbered_broad,3,0.72294926217242,124.49585901803887,1.1471176532795653
response_form,mistral_7b_base,numbered_narrow,behav_numbered_narrow,3,0.6894029689429493,124.49585901803887,1.1471176532795653
response_form,mistral_7b_base,plain_broad,behav_plain_broad,3,0.7356339443299124,124.64747545000382,1.004974670552959
response_form,mistral_7b_base,plain_narrow,behav_plain_narrow,3,0.683607076572487,124.64747545000382,1.004974670552959
response_form,mistral_7b_base,preamble_broad,behav_preamble_broad,3,0.7530075338785348,122.21141192691663,1.373242579982616
response_form,mistral_7b_base,preamble_narrow,behav_preamble_narrow,3,0.7270477690599385,122.21141192691663,1.373242579982616
response_form,mistral_7b_base,shouted_broad,behav_shouted_broad,3,0.7250902827099646,116.36934067111089,0.9236653555611459
response_form,mistral_7b_base,shouted_narrow,behav_shouted_narrow,3,0.6643631204153773,116.36934067111089,0.9236653555611459
response_form,mistral_7b_base,symbolic_broad,behav_symbolic_broad,3,0.9808301856792575,120.55837668450094,1.5211350757163018
response_form,mistral_7b_base,symbolic_narrow,behav_symbolic_narrow,3,0.9358677915059633,120.55837668450094,1.5211350757163018
